sales_calls_per_day,hours_at_desk,motivational_poster,promotion_considered,performance_review
36,7.3,No,0,Adequate
48,8.7,Yes,1,Adequate
32,8.3,Yes,1,Adequate
50,5.8,Yes,1,Disaster
39,6.8,No,0,Outstanding
39,6.6,Yes,0,Adequate
29,6.4,Yes,1,Adequate
27,6.8,No,0,Adequate
40,9.9,No,1,Outstanding
42,5.8,Yes,0,Outstanding
30,6.6,Yes,0,Outstanding
37,6.3,No,0,Adequate
35,7.1,No,0,Outstanding
27,7.4,Yes,0,Disaster
32,9.8,No,1,Adequate
40,8.5,Yes,0,Adequate
34,6.2,No,1,Adequate
53,7.3,Yes,1,Outstanding
42,7.8,No,1,Adequate
37,5.4,Yes,1,Adequate
37,7.3,Yes,1,Adequate
42,7.2,No,1,Adequate
39,9.5,Yes,1,Adequate
49,6.4,No,1,Adequate
35,8.8,Yes,1,Adequate
25,8.2,Yes,0,Adequate
49,6.5,No,1,Disaster
23,6.4,No,0,Adequate
43,6.5,Yes,1,Adequate
34,8.6,Yes,1,Adequate
29,8.6,No,1,Adequate
33,7.6,Yes,0,Outstanding
27,6.5,Yes,0,Adequate
35,7,Yes,1,Outstanding
53,6.7,Yes,0,Outstanding
27,6,No,0,Adequate
26,8,Yes,0,Adequate
38,8.3,Yes,0,Adequate
41,6.8,No,0,Outstanding
46,7.7,No,1,Adequate
28,9.5,No,0,Adequate
25,6.3,No,0,Adequate
21,8.5,Yes,0,Adequate
41,6.4,No,0,Adequate
16,5.1,No,0,Disaster
44,5.8,Yes,1,Adequate
37,8.5,Yes,0,Disaster
30,6.9,No,0,Disaster
30,7.3,Yes,0,Adequate
45,6.5,No,1,Adequate
36,8.6,No,0,Adequate
33,7.2,Yes,1,Outstanding
35,7.7,Yes,1,Adequate
29,8,No,0,Disaster
41,7.1,No,1,Outstanding
39,7.9,Yes,0,Adequate
50,8.8,No,1,Adequate
42,7.9,Yes,1,Adequate
14,6.6,No,0,Adequate
40,8,No,1,Outstanding
45,7.9,No,1,Adequate
33,7.3,Yes,1,Adequate
28,8.2,Yes,1,Adequate
35,6.1,Yes,0,Adequate
49,9.3,Yes,1,Adequate
45,9.7,Yes,1,Adequate
40,6.9,No,1,Adequate
27,8.5,Yes,1,Adequate
40,10.6,Yes,1,Outstanding
34,7.8,Yes,1,Adequate
34,7.8,Yes,0,Outstanding
30,6.5,Yes,1,Adequate
27,6,Yes,0,Adequate
29,8.6,No,1,Disaster
31,7.5,No,0,Outstanding
34,6.4,Yes,1,Outstanding
21,8.9,No,0,Outstanding
29,10.9,No,0,Adequate
50,7.6,Yes,1,Adequate
32,5,No,0,Disaster
45,7.5,No,1,Disaster
25,8,Yes,1,Outstanding
33,6.5,No,1,Outstanding
39,6.5,Yes,1,Disaster
38,8.8,No,1,Adequate
24,9.5,Yes,1,Adequate
33,8.8,No,0,Adequate
21,5.8,No,0,Disaster
34,8.8,No,1,Outstanding
42,7.5,Yes,1,Disaster
38,8.4,Yes,1,Outstanding
31,8.5,No,1,Disaster
39,7.5,No,1,Adequate
43,6.3,No,1,Adequate
27,6.8,No,0,Outstanding
34,6.7,Yes,0,Adequate
38,6.7,No,1,Adequate
29,7.1,Yes,0,Outstanding
35,8.5,Yes,1,Adequate
29,6.3,No,1,Outstanding
35,7,No,0,Adequate
33,6.4,Yes,0,Outstanding
31,6.6,No,0,Disaster
32,8.7,Yes,1,Adequate
39,8.6,No,1,Adequate
32,7.3,No,0,Adequate
25,6.2,Yes,0,Disaster
45,8.5,Yes,1,Adequate
21,6.8,No,0,Outstanding
40,8.4,Yes,0,Adequate
38,8.2,No,0,Disaster
38,5.8,Yes,1,Adequate
19,5.4,No,0,Disaster
37,5.8,No,0,Adequate
48,7.7,No,0,Adequate
30,9.8,Yes,0,Adequate
22,8.6,No,1,Disaster
30,8,Yes,1,Adequate
47,6.8,Yes,1,Outstanding
47,6.2,Yes,0,Adequate
38,7,Yes,1,Adequate
15,7.5,No,0,Disaster
28,8.4,Yes,1,Adequate
41,8.4,No,1,Adequate
41,8.1,No,1,Outstanding
36,6.7,Yes,1,Disaster
42,6.1,Yes,1,Outstanding
21,6.4,Yes,0,Disaster
42,7.4,Yes,1,Adequate
35,9.3,No,0,Adequate
38,7.3,Yes,0,Outstanding
37,4.6,Yes,1,Adequate
38,6.8,No,0,Adequate
21,7.4,Yes,0,Adequate
29,8.6,No,1,Adequate
28,9.4,No,0,Outstanding
22,8.4,Yes,1,Adequate
36,8.9,No,1,Adequate
24,6.2,No,0,Outstanding
35,7.9,Yes,1,Adequate
24,8.4,No,1,Outstanding
31,7.9,No,1,Adequate
34,7.7,No,1,Adequate
29,9.7,Yes,1,Adequate
43,7.6,Yes,0,Outstanding
36,7.5,Yes,1,Adequate
50,6.9,No,1,Adequate
35,8.4,No,0,Adequate
41,8.5,Yes,0,Adequate
29,6.7,No,0,Adequate
42,7.8,No,1,Adequate
35,8.7,No,1,Adequate
29,9.2,Yes,1,Adequate
34,7.2,Yes,1,Adequate
46,9.3,Yes,1,Adequate
45,6.7,Yes,1,Adequate
37,8.1,No,0,Adequate
41,8.1,No,0,Adequate
41,7.9,No,0,Outstanding
26,6.2,Yes,1,Outstanding
36,7.3,No,0,Outstanding
43,8.2,Yes,1,Outstanding
35,7.6,Yes,1,Outstanding
39,7.7,Yes,1,Disaster
42,8,Yes,0,Adequate
37,8.9,Yes,0,Outstanding
30,6.7,Yes,0,Disaster
32,9.2,Yes,1,Outstanding
35,6,Yes,0,Adequate
30,5.6,No,0,Outstanding
30,7.9,No,1,Adequate
39,7.4,No,0,Adequate
35,6.4,Yes,0,Outstanding
49,4,Yes,0,Adequate
42,5.6,No,0,Adequate
34,8.5,Yes,1,Adequate
45,7.3,Yes,1,Adequate
38,8.5,No,1,Disaster
34,8.3,No,1,Disaster
40,7.4,Yes,1,Adequate
32,6.3,No,0,Outstanding
39,7.2,No,1,Outstanding
33,9.6,Yes,1,Adequate
31,8.8,Yes,1,Adequate
50,8.2,Yes,1,Adequate
44,5.6,Yes,1,Outstanding
43,8.3,Yes,1,Outstanding
28,6,No,0,Adequate
28,8.5,No,1,Disaster
43,6.3,No,0,Outstanding
41,8.9,No,1,Adequate
45,7.7,No,1,Outstanding
39,4.7,Yes,0,Adequate
35,8.6,Yes,1,Disaster
43,6.1,Yes,0,Adequate
31,7.9,Yes,0,Adequate
34,5.9,Yes,1,Adequate
42,7.1,Yes,0,Adequate
36,6.4,Yes,1,Adequate
37,8.6,Yes,1,Outstanding
22,8.8,Yes,0,Adequate
44,7.6,No,0,Adequate
41,8.9,No,1,Disaster
34,6.9,No,0,Outstanding
45,7.5,No,1,Outstanding
46,5.7,Yes,1,Adequate
31,8.6,No,1,Outstanding
42,8.3,Yes,1,Outstanding
43,5.9,No,0,Disaster
44,8.4,No,1,Outstanding
29,4.8,Yes,0,Disaster
46,8.8,Yes,1,Outstanding
42,7.6,No,1,Outstanding
38,8.8,Yes,1,Adequate
40,7,No,1,Outstanding
38,7.8,No,0,Outstanding
34,6.7,No,1,Disaster
22,5.5,No,0,Adequate
41,7.1,No,0,Adequate
34,8.5,Yes,0,Outstanding
41,7.7,No,0,Outstanding
26,8.4,Yes,1,Adequate
29,6.3,No,0,Disaster
32,5.8,No,1,Adequate
30,9.9,Yes,1,Adequate
42,7.8,No,1,Outstanding
28,7.2,Yes,1,Adequate
33,9,Yes,0,Adequate
36,9.6,No,1,Adequate
44,7.1,No,1,Outstanding
40,9.4,No,1,Adequate
28,8.1,No,1,Disaster
34,9.4,No,1,Adequate
24,6.3,Yes,1,Outstanding
29,6.3,No,0,Disaster
32,7,Yes,0,Adequate
43,6.4,Yes,0,Outstanding
32,7,No,0,Adequate
38,5.2,No,1,Adequate
31,6.9,No,1,Outstanding
42,7.6,No,0,Adequate
44,8.3,No,1,Outstanding
37,9,Yes,1,Outstanding
34,8,Yes,1,Adequate
27,6.3,Yes,1,Adequate
47,7.2,Yes,1,Outstanding
28,8.4,No,0,Adequate
40,8.7,No,0,Adequate
39,8.3,No,1,Outstanding
24,4.9,No,0,Disaster
32,7.4,No,1,Outstanding
22,4.7,No,0,Adequate
33,7.9,No,0,Adequate
34,6.1,Yes,0,Adequate
45,8.9,Yes,1,Outstanding
34,8.6,No,1,Outstanding
40,7.2,No,0,Adequate
28,7.9,No,1,Adequate
32,7.8,Yes,0,Disaster
38,7.5,No,0,Adequate
37,6.8,No,1,Outstanding
32,7.6,No,1,Outstanding
43,7.3,No,0,Outstanding
37,8.9,Yes,1,Adequate
50,7.1,Yes,0,Outstanding
22,8.8,Yes,0,Adequate
38,6.6,No,1,Adequate
25,6.1,Yes,0,Disaster
23,5.2,No,0,Disaster
31,6.6,Yes,1,Disaster
29,7.1,Yes,1,Adequate
33,5.4,No,1,Adequate
38,6.1,Yes,1,Adequate
33,7.5,Yes,0,Adequate
41,8.7,Yes,1,Adequate
44,6.4,No,1,Outstanding
40,7.2,Yes,1,Disaster
43,4.9,Yes,1,Outstanding
32,9.5,No,1,Disaster
14,9.1,No,0,Adequate
34,7.5,No,0,Disaster
46,8.1,No,1,Outstanding
30,9.2,No,1,Adequate
40,6.1,No,0,Disaster
22,8.1,Yes,0,Adequate
29,6.1,Yes,1,Outstanding
28,6.6,Yes,0,Adequate
27,8.3,No,0,Outstanding
35,5.4,No,0,Outstanding
