species_size,district,age,commute,public_service,weekend,income,stress,wellbeing,complaint,transport,snacks_purchased
small,Sahara Square,46,44,1,0,51.04,96.3,0,1,Transit,0
medium,Tundratown,23,24.7,0,0,111.66,10.5,0.13,1,Transit,1
small,Tundratown,23,38.2,0,0,114.61,90.7,0,1,Transit,0
medium,Tundratown,39,30.3,0,0,78.95,22.8,0,1,Transit,4
small,Tundratown,28,21,0,0,99.64,14.7,0,1,Transit,2
medium,Sahara Square,48,20.1,0,0,87.8,15.1,0,1,Transit,16
small,Tundratown,18,9,1,1,95.02,2.8,0.38,1,Walk,1
medium,Rainforest,31,7.4,1,0,53.42,10.5,0.05,1,Personal,0
large,Tundratown,42,16,0,0,64.6,14.1,0,1,Transit,0
medium,Rainforest,33,8.7,1,0,95.27,11.5,0.09,1,Transit,1
medium,Rainforest,41,45.3,0,1,87.06,24.8,0,1,Transit,3
large,Downtown,30,14.6,1,1,73.58,10.6,0.04,1,Transit,30
medium,Tundratown,35,22.5,1,0,99.95,32.9,0,1,Personal,2
medium,Downtown,31,25,1,0,34.24,22.3,0,1,Transit,0
medium,Sahara Square,18,17.8,0,0,83.4,13.6,0.04,1,Fly,0
small,Sahara Square,21,19.4,0,0,114.42,20.8,0.01,1,Transit,5
small,Tundratown,37,30.8,0,0,59.6,27.9,0,1,Transit,0
large,Rainforest,30,31.4,0,1,70.27,50.6,0,1,Transit,0
small,Sahara Square,33,17.3,0,1,75.95,12.3,0,1,Transit,14
medium,Tundratown,47,65.8,0,0,90.88,105.5,0,1,Transit,0
large,Rainforest,26,17.1,0,1,74.9,14,0,1,Transit,3
medium,Downtown,20,10.7,0,0,95.36,8.5,0.15,1,Transit,22
small,Downtown,32,9.4,1,0,97.77,15,0.06,1,Transit,6
small,Rainforest,27,21.6,0,0,60.78,13.7,0,1,Walk,3
large,Rainforest,44,7.8,0,0,61.71,7.1,0.05,1,Walk,21
medium,Rainforest,30,31.3,0,0,45.26,24.1,0,1,Transit,2
small,Downtown,41,8.9,1,0,90.9,7.9,0.17,1,Transit,49
small,Rainforest,51,35.1,0,0,87.9,38.8,0,1,Fly,0
medium,Downtown,18,41.5,0,0,30,9.7,0.1,1,Transit,3
medium,Sahara Square,37,31.6,0,0,99.06,21.7,0,1,Transit,1
large,Rainforest,49,24.8,1,0,51.94,18.5,0,1,Transit,16
large,Sahara Square,35,8.9,0,0,79.05,5.2,0.31,1,Fly,4
small,Downtown,36,26.5,0,0,83.69,13,0,1,Transit,0
medium,Downtown,33,12.9,0,0,92.25,5.2,0.47,1,Personal,6
medium,Downtown,20,20.8,0,1,69.12,4.6,0.56,1,Transit,1
small,Rainforest,28,4.9,0,0,94.12,10.2,0.01,1,Transit,7
large,Tundratown,18,15.8,0,0,95.79,13,0,1,Transit,5
medium,Sahara Square,45,38.4,0,0,66.64,26.7,0,1,Transit,2
medium,Tundratown,38,7.9,0,1,127.78,3.5,0.33,1,Transit,28
large,Downtown,34,11.6,0,0,91.72,7.7,0.05,1,Walk,27
medium,Sahara Square,33,27.4,0,1,71.39,26.2,0,1,Personal,0
small,Tundratown,25,11.1,0,0,83.78,4.5,0.32,1,Transit,7
small,Tundratown,47,4.9,1,1,106.59,4.2,0.37,1,Personal,23
small,Sahara Square,37,39.9,1,0,96.76,58.9,0,1,Transit,0
small,Tundratown,25,17.2,0,0,94.24,9.4,0.02,1,Personal,2
small,Tundratown,48,30.3,0,0,110.98,40.4,0,1,Transit,4
medium,Tundratown,54,16,0,1,92.39,10.5,0.01,1,Transit,14
medium,Tundratown,34,25.8,1,0,100.95,25.3,0,1,Fly,5
small,Rainforest,33,16.2,0,1,103.01,11,0.16,1,Fly,13
small,Sahara Square,31,21.7,0,1,49.99,8.9,0.07,1,Transit,22
medium,Tundratown,46,14.8,0,0,85.34,5.8,0.2,1,Personal,23
medium,Tundratown,32,28.4,0,0,56.06,23.8,0,1,Transit,3
small,Tundratown,25,25.8,0,1,99.75,8.4,0.16,1,Transit,4
large,Sahara Square,46,16,1,0,79.92,13.1,0.01,1,Transit,5
medium,Downtown,25,34.2,1,0,75.66,19.8,0,1,Transit,1
small,Rainforest,30,38.3,0,1,66.5,38.1,0,1,Fly,3
small,Rainforest,43,24.8,0,0,114.67,17.6,0,1,Transit,7
medium,Sahara Square,30,24.5,0,0,75.03,16.2,0,1,Transit,3
small,Sahara Square,30,20.2,0,0,123.23,28.3,0,1,Transit,0
large,Rainforest,34,26.3,0,0,84.04,23.8,0,1,Transit,0
medium,Rainforest,44,19.5,0,0,82.12,14.7,0.03,1,Transit,14
large,Tundratown,25,24.4,0,0,76.94,29.6,0,1,Transit,5
medium,Sahara Square,43,8.2,0,1,102.42,3.9,0.58,1,Transit,102
large,Rainforest,39,12.3,0,1,108.56,3.6,0.45,1,Transit,17
small,Sahara Square,29,14.9,0,0,47.85,11.2,0.03,1,Transit,1
medium,Sahara Square,31,34.6,1,0,94.93,23,0,1,Fly,6
large,Rainforest,49,23.8,1,1,76,21.4,0,1,Transit,3
small,Tundratown,25,30.8,0,1,81.15,20.7,0,1,Transit,3
large,Rainforest,42,19.5,1,0,92.05,20.8,0,1,Transit,6
large,Sahara Square,18,37.4,1,0,96.76,68.2,0,1,Transit,0
medium,Tundratown,49,33.3,0,0,44.65,21.7,0,1,Transit,8
large,Rainforest,30,21.8,0,0,65.79,15,0,1,Transit,3
small,Tundratown,47,31.3,0,0,80.6,27.7,0,1,Transit,4
large,Rainforest,57,16,1,1,89.75,11.3,0,1,Personal,20
large,Sahara Square,49,18.6,0,0,107.24,23.1,0,1,Transit,4
small,Tundratown,40,23.8,0,0,98.27,17.1,0.01,1,Fly,7
small,Rainforest,49,6.4,1,0,103.31,12.3,0.08,1,Personal,10
large,Sahara Square,46,16.7,0,0,68.97,14.5,0.02,1,Transit,7
medium,Sahara Square,55,32.8,0,0,71.97,34.5,0,1,Transit,8
small,Sahara Square,23,12.1,1,0,119.78,8.4,0.05,1,Transit,2
large,Tundratown,29,13.6,0,0,60.11,17.3,0,1,Fly,4
small,Tundratown,33,12.2,1,0,113.27,14.1,0,1,Personal,6
medium,Downtown,39,47.7,0,0,53.11,16.2,0,1,Transit,14
medium,Tundratown,37,33.6,0,1,138.58,30.1,0,1,Transit,2
large,Downtown,26,17,0,0,86.35,7.4,0.1,1,Fly,2
medium,Sahara Square,36,24,0,1,80.4,7.6,0.13,1,Transit,9
small,Rainforest,45,13.4,0,0,89.63,14,0.04,1,Transit,1
small,Rainforest,49,16,1,1,123.79,6,0.3,1,Transit,15
medium,Sahara Square,28,13.9,0,0,122.74,10.1,0.06,1,Transit,4
medium,Rainforest,42,3.4,0,0,72.34,3.2,0.53,1,Personal,3
large,Sahara Square,27,4.2,0,0,67.32,9.9,0.06,1,Transit,2
medium,Sahara Square,22,11,0,0,86.41,13.1,0,1,Transit,2
medium,Sahara Square,26,41.2,0,0,70.42,56.3,0,1,Transit,1
medium,Sahara Square,30,12.4,0,0,86.51,11.4,0,1,Fly,10
small,Sahara Square,29,37.9,0,0,72.52,34.5,0,1,Transit,0
small,Rainforest,45,24.1,0,0,87.11,12.4,0.05,1,Transit,4
medium,Rainforest,18,28.3,0,0,87.93,21.2,0,1,Transit,2
small,Tundratown,48,26.2,0,0,92.31,20.3,0,1,Transit,9
large,Sahara Square,35,9.4,0,0,56.99,16.7,0.01,1,Personal,1
small,Downtown,49,40.9,0,0,42.73,19.3,0,1,Transit,5
medium,Downtown,34,28.6,0,0,72.49,13.8,0,1,Transit,1
small,Rainforest,18,19.2,0,0,77.17,19,0,1,Transit,0
medium,Rainforest,50,19.8,0,0,79.41,12.5,0.02,1,Personal,38
small,Sahara Square,38,8.3,0,0,123.12,10.2,0.11,1,Walk,15
medium,Rainforest,22,17.1,1,0,129.6,27.1,0,1,Walk,2
large,Sahara Square,49,32.9,0,1,70.59,11.1,0.06,1,Transit,12
medium,Tundratown,22,18.2,0,0,74.85,8.9,0.03,1,Transit,6
medium,Rainforest,56,36.9,0,0,82.55,12.7,0.01,1,Transit,0
large,Rainforest,32,9.7,1,0,88.29,9.5,0.04,1,Personal,2
small,Rainforest,29,13.4,1,1,126.51,19.2,0,1,Transit,5
small,Downtown,50,44.8,0,0,71.4,46.2,0,1,Transit,5
large,Downtown,19,11,0,0,61.57,9,0.02,1,Personal,4
small,Sahara Square,36,34,1,0,95.72,38.4,0,1,Transit,4
small,Rainforest,26,42.1,0,0,60.88,33.8,0,1,Transit,0
small,Downtown,27,19.7,0,0,59.64,7,0.19,1,Fly,9
medium,Rainforest,22,20.8,1,0,100.85,26.3,0,1,Personal,3
small,Downtown,41,22.9,0,0,90.37,13.8,0,1,Transit,9
small,Rainforest,23,31.3,0,0,78.47,24.6,0,1,Transit,3
medium,Tundratown,19,10.1,0,0,84.03,4.1,0.41,1,Personal,0
small,Tundratown,32,59.7,1,0,84.57,120.1,0,1,Transit,0
small,Rainforest,26,27,0,0,82.89,22.3,0,1,Transit,2
small,Rainforest,62,18.8,0,1,96.76,15.4,0.01,1,Transit,78
large,Tundratown,23,40.2,0,0,46.02,46.2,0,1,Transit,0
large,Tundratown,18,31.4,0,1,90.93,14.1,0,1,Transit,1
small,Tundratown,42,56.7,0,0,67.44,73.4,0,1,Transit,0
medium,Sahara Square,56,9.7,1,1,107.57,6.3,0.29,1,Fly,24
small,Downtown,26,27.4,0,0,107.34,11.1,0.01,1,Transit,9
medium,Tundratown,18,17,1,0,75.26,22,0,1,Fly,1
medium,Rainforest,37,9.9,0,0,106.16,14.5,0.02,1,Transit,10
large,Tundratown,32,22.6,0,0,84.88,15.5,0,1,Transit,2
medium,Downtown,61,15,0,0,114.25,8.2,0.14,1,Transit,23
medium,Tundratown,54,5.7,1,0,127.39,11.8,0.01,1,Personal,5
medium,Downtown,26,14.2,0,0,80.19,9.7,0.06,1,Transit,1
medium,Rainforest,28,25,0,1,81.64,13.1,0,1,Transit,6
large,Tundratown,40,10.2,0,0,46.62,10.7,0.13,1,Transit,2
large,Rainforest,25,21,0,0,68.11,21.2,0,1,Transit,0
medium,Rainforest,28,13.3,0,0,118.16,11.6,0,1,Transit,7
small,Tundratown,44,26.4,0,1,93.21,10.1,0.15,1,Transit,13
small,Tundratown,31,13.8,0,0,129.69,3.9,0.47,1,Transit,3
large,Rainforest,59,29.8,0,0,85.6,43.4,0,1,Transit,0
large,Rainforest,37,49.1,0,1,50.74,29.2,0,1,Personal,6
large,Sahara Square,25,32.3,0,1,50.59,39.1,0,1,Transit,1
small,Downtown,30,38.3,0,0,113.26,23.9,0,1,Transit,6
large,Downtown,31,27.7,0,0,43.77,6.7,0.1,1,Transit,2
small,Downtown,39,16.7,0,0,90.22,9.5,0.02,1,Transit,2
small,Rainforest,31,31.4,0,1,67.03,20,0,1,Transit,21
small,Rainforest,26,16.6,0,1,113.85,12.8,0,1,Transit,14
small,Rainforest,65,27.5,1,0,88.05,41,0,1,Transit,1
medium,Tundratown,22,52.6,0,0,30.29,33.4,0,1,Transit,1
small,Sahara Square,28,17.5,0,0,97.82,9.2,0.04,1,Transit,7
medium,Rainforest,47,17.6,0,1,84.35,11,0,1,Transit,23
large,Rainforest,41,32.2,1,0,63.25,18.9,0,1,Personal,7
medium,Tundratown,29,18.3,1,0,96.04,10.6,0.01,1,Transit,23
large,Sahara Square,19,44.8,0,0,12.05,49.1,0,1,Transit,1
medium,Rainforest,41,23.3,0,0,93.85,18,0,1,Personal,0
small,Tundratown,47,31.9,0,0,119.12,15.2,0.06,1,Transit,4
medium,Downtown,48,29.3,1,1,86.18,11.8,0.1,1,Transit,76
medium,Downtown,42,32.3,0,0,63.17,13.8,0.02,1,Personal,1
small,Tundratown,33,25.8,1,0,92.62,13,0.04,1,Transit,8
medium,Rainforest,49,11.4,1,1,124.34,12,0.02,1,Personal,39
large,Downtown,48,39,1,1,68.74,31.8,0,1,Transit,2
large,Sahara Square,25,0.9,0,0,95.94,6.6,0.12,1,Fly,24
medium,Rainforest,45,22.4,0,0,96.04,8.6,0.05,1,Transit,22
medium,Downtown,53,25.7,0,0,78.46,12.1,0.15,1,Transit,4
large,Sahara Square,39,7,0,0,93.14,8.4,0.1,1,Transit,5
large,Sahara Square,44,53.2,0,0,71.25,111.3,0,1,Transit,0
medium,Rainforest,39,18.4,1,0,108.47,15.9,0,1,Transit,1
medium,Sahara Square,18,23.7,0,1,91.61,12.8,0.08,1,Fly,3
small,Rainforest,37,6.6,1,0,113.53,6.1,0.2,1,Personal,5
large,Rainforest,23,20.7,1,0,101.46,33.6,0,1,Transit,3
large,Tundratown,18,20.6,0,0,60.68,9,0.1,1,Fly,1
small,Rainforest,30,45.8,0,0,68.27,119.9,0,1,Transit,0
small,Sahara Square,27,32.2,0,0,88.37,20,0,1,Transit,3
medium,Downtown,32,31.9,1,0,105.3,26.5,0,1,Walk,6
medium,Downtown,45,57.2,0,1,53.67,48.4,0,1,Transit,1
small,Rainforest,41,12.7,0,0,114.86,12.7,0.01,1,Fly,5
medium,Rainforest,39,33.3,1,0,79.16,12,0,1,Transit,2
medium,Rainforest,50,15.5,0,0,91.38,12.1,0,1,Transit,6
medium,Tundratown,46,42.8,1,0,79.92,53.1,0,1,Transit,0
small,Downtown,26,37.9,0,0,47.94,49.2,0,1,Transit,0
small,Rainforest,18,17.2,0,0,101.74,8.4,0.04,1,Transit,5
small,Tundratown,41,24.3,1,0,102.97,19.8,0,1,Personal,9
large,Rainforest,27,33.3,1,1,114.12,26.5,0,1,Transit,2
small,Downtown,46,17,0,1,112.3,7.6,0.1,1,Transit,22
large,Sahara Square,47,54.6,1,0,58.07,176.7,0,1,Transit,0
large,Rainforest,21,7.2,0,0,86.2,4.5,0.61,1,Transit,9
large,Downtown,53,15.7,0,0,96.26,14,0.01,1,Transit,7
small,Rainforest,32,16.5,0,0,90.45,19.7,0,1,Fly,3
small,Rainforest,50,61.5,0,1,82.78,49.4,0,1,Transit,2
large,Rainforest,45,25.4,0,1,66.01,12.5,0.04,1,Transit,1
medium,Tundratown,24,11.2,0,0,58.41,11.9,0.04,1,Personal,7
large,Rainforest,48,16.4,1,0,91.09,12.1,0.01,1,Walk,0
medium,Downtown,38,13.3,1,1,91.36,8.5,0.14,1,Transit,22
small,Downtown,54,20.1,0,1,105.83,4.8,0.51,1,Fly,9
small,Downtown,37,31.1,1,0,76.79,22,0,1,Personal,3
small,Rainforest,37,27,0,0,109.27,13.4,0,1,Transit,0
small,Downtown,36,10.8,0,0,79.86,7.7,0.11,1,Transit,3
medium,Downtown,36,45.1,0,0,79.41,70.8,0,1,Transit,0
large,Rainforest,65,24.8,0,0,95.27,13.9,0,1,Transit,1
small,Tundratown,35,16.6,0,1,114.45,10.1,0.01,1,Transit,27
medium,Tundratown,37,24.4,1,0,103.52,20.3,0,1,Fly,0
medium,Tundratown,30,20.3,0,0,89.99,6.2,0.17,1,Transit,5
small,Rainforest,39,32.3,0,0,124.05,32.2,0,1,Transit,5
large,Rainforest,45,33,0,1,88.21,35.2,0,1,Transit,1
large,Sahara Square,51,19.2,1,1,77.83,21.4,0,1,Transit,3
small,Rainforest,21,16.7,1,0,103.47,19.8,0,1,Fly,0
medium,Rainforest,28,22.9,0,0,96.1,14.7,0,1,Transit,4
medium,Rainforest,52,10.5,0,0,131.58,6.5,0.13,1,Transit,5
medium,Rainforest,36,19.7,0,0,90.59,28.2,0,1,Transit,4
medium,Sahara Square,26,47,0,0,51.99,78.7,0,1,Transit,0
small,Downtown,39,25.8,1,0,88.93,18,0,1,Personal,18
small,Tundratown,29,18.5,0,1,114.32,7.8,0.18,1,Transit,5
small,Sahara Square,55,24,0,0,85.56,33.1,0,1,Transit,0
small,Sahara Square,23,30,0,1,80.63,27,0,1,Transit,2
medium,Sahara Square,40,21.6,0,0,78.11,11.1,0.09,1,Fly,1
medium,Rainforest,30,11,0,0,91.54,7.6,0.11,1,Fly,1
medium,Downtown,37,4.5,1,0,96.6,8.6,0.06,1,Personal,0
small,Sahara Square,23,16.9,0,0,83.87,18.9,0,1,Transit,1
small,Sahara Square,24,55.8,0,0,83.13,105.6,0,1,Transit,0
medium,Sahara Square,52,23.4,0,1,106.95,9.6,0.01,1,Transit,17
small,Tundratown,52,8.8,0,0,103.09,15.6,0,1,Walk,1
medium,Sahara Square,44,27.2,0,0,80.98,12.7,0,1,Transit,9
large,Downtown,27,25.2,0,0,89.59,39.6,0,1,Transit,0
large,Rainforest,37,16.4,0,1,100.29,10.7,0.01,1,Transit,9
large,Rainforest,35,25.3,0,1,59.05,25.1,0,1,Transit,3
small,Downtown,29,13.8,0,0,55.41,9.8,0.06,1,Fly,0
small,Downtown,18,14.6,0,1,106.71,7.1,0.16,1,Transit,7
medium,Tundratown,25,21.6,0,0,62.06,13.2,0,1,Transit,0
medium,Rainforest,35,14.7,1,0,97.85,8.9,0.02,1,Personal,1
small,Tundratown,44,22.5,0,0,117.09,18.6,0,1,Personal,2
small,Tundratown,28,13.9,0,0,87.75,6.6,0.18,1,Fly,3
small,Downtown,30,16,0,0,55.97,6.8,0.27,1,Transit,2
small,Tundratown,18,12.3,0,0,75.22,9.1,0.03,1,Transit,0
small,Rainforest,38,47.3,1,0,98.36,61.2,0,1,Transit,1
small,Downtown,41,33.8,0,0,100.13,10.6,0.01,1,Transit,5
small,Sahara Square,42,23.2,1,0,119.72,18,0,1,Personal,0
medium,Downtown,34,18,0,0,98.26,5.2,0.44,1,Transit,1
medium,Tundratown,45,10.3,0,1,143.17,8.2,0.16,1,Transit,1
large,Sahara Square,20,28.7,1,0,83.98,26.4,0,1,Transit,0
medium,Rainforest,38,24.3,0,1,85.51,8.3,0.12,1,Transit,0
small,Downtown,35,15.7,1,0,90.57,12.3,0,1,Walk,1
small,Rainforest,46,63.4,0,0,39.35,70.5,0,1,Transit,0
medium,Sahara Square,29,23.3,0,0,72.03,30,0,1,Transit,2
medium,Rainforest,27,4,0,1,90.26,3.4,0.66,1,Transit,16
large,Sahara Square,27,13.8,0,0,82.59,8.8,0.12,1,Transit,0
small,Sahara Square,25,51.2,0,1,56.09,44.5,0,1,Transit,0
small,Rainforest,22,45.8,0,0,63.04,45.8,0,1,Transit,1
large,Sahara Square,50,14.5,0,0,39.09,8.8,0.34,1,Transit,13
medium,Rainforest,46,39.9,1,1,55.05,29.7,0,1,Transit,1
large,Rainforest,49,5.1,0,0,82,6.7,0.11,1,Walk,18
medium,Tundratown,44,21.8,0,1,60.54,12.1,0.02,1,Transit,2
large,Downtown,61,3.3,0,0,110.95,3.4,0.47,1,Fly,52
small,Tundratown,32,29.3,0,1,58.01,13.6,0,1,Walk,20
large,Tundratown,48,49.4,0,0,66.09,63.6,0,1,Transit,0
medium,Sahara Square,28,19,1,0,115.65,19.4,0,1,Transit,3
medium,Rainforest,50,34.3,1,0,76.36,40.8,0,1,Transit,1
small,Downtown,37,64.7,0,0,24.94,131.9,0,1,Transit,0
small,Tundratown,24,18.9,0,1,101.97,10.5,0.01,1,Transit,5
small,Rainforest,32,9.8,0,0,111.64,10.5,0.02,1,Fly,7
medium,Tundratown,27,39.4,0,0,47.92,29.8,0,1,Transit,8
small,Tundratown,39,22.3,0,1,121.64,23.2,0,1,Transit,11
large,Sahara Square,32,20.5,0,1,59.89,5.8,0.27,1,Transit,9
small,Sahara Square,55,6,0,0,93.47,8.4,0.17,1,Transit,19
small,Downtown,48,13.9,0,0,59.89,6.1,0.1,1,Transit,10
large,Downtown,35,21.3,1,0,87.23,20.7,0,1,Transit,2
large,Rainforest,57,7.7,0,0,56.01,15.2,0,1,Walk,2
medium,Downtown,22,32.6,1,0,86.28,16.7,0,1,Fly,12
small,Sahara Square,31,23.4,1,1,109.35,22.2,0,1,Transit,3
medium,Downtown,56,26.8,0,0,41.63,11.4,0,1,Transit,14
small,Sahara Square,18,31.2,0,0,73.82,19.6,0,1,Personal,0
medium,Downtown,22,20.4,1,0,91.84,10,0.05,1,Transit,4
large,Sahara Square,61,5.7,0,0,64,12.2,0,1,Personal,8
small,Sahara Square,45,15.7,1,1,111.14,9.2,0.06,1,Transit,0
medium,Rainforest,18,37.6,0,0,61.28,19.9,0,1,Transit,3
small,Tundratown,20,32,0,0,95.39,19.6,0,1,Transit,0
medium,Sahara Square,24,33.4,0,1,70.38,38.6,0,1,Transit,1
small,Tundratown,18,24.1,0,0,115.46,13,0.04,1,Transit,1
small,Rainforest,48,19.3,1,0,115.16,7.6,0.01,1,Transit,21
medium,Rainforest,23,25.4,0,0,76.64,30.7,0,1,Transit,1
medium,Tundratown,37,19.1,0,0,91.13,13,0,1,Personal,9
medium,Sahara Square,54,25.4,0,0,73.72,15.2,0.09,1,Personal,0
medium,Tundratown,45,19.3,0,0,100.33,12.5,0,1,Transit,18
small,Sahara Square,18,9.6,0,1,99.65,7.6,0.19,1,Transit,12
large,Tundratown,38,35.5,0,0,89.8,28.7,0,1,Transit,0
small,Rainforest,36,36.3,1,0,85.13,93.7,0,1,Transit,0
small,Sahara Square,39,34.4,0,0,62.8,26.9,0,1,Transit,0
large,Sahara Square,24,23.8,0,1,102.99,25.8,0,1,Transit,0
